FECHA;VENTAS
2000-01-31;4966041.0
2000-02-29;4780084.0
2000-03-31;5371961.0
2000-04-30;5093745.0
2000-05-31;5464223.0
2000-06-30;4863273.0
2000-07-31;5130876.0
2000-08-31;5664635.0
2000-09-30;4907194.0
2000-10-31;4966044.0
2000-11-30;5086619.0
2000-12-31;5661648.0
2001-01-31;5538646.0
2001-02-28;5052795.0
2001-03-31;5381111.0
2001-04-30;5433708.0
2001-05-31;5347474.0
2001-06-30;4968479.0
2001-07-31;5534914.0
2001-08-31;5421692.0
2001-09-30;5371863.0
2001-10-31;5735353.0
2001-11-30;5215737.0
2001-12-31;5895292.0
2002-01-31;5452921.0
2002-02-28;5126339.0
2002-03-31;5899352.0
2002-04-30;5421403.0
2002-05-31;5466114.0
2002-06-30;5344171.0
2002-07-31;5533528.0
2002-08-31;5772693.0
2002-09-30;5690510.0
2002-10-31;5949198.0
2002-11-30;5521708.0
2002-12-31;5656436.0
2003-01-31;5989452.0
2003-02-28;5367578.0
2003-03-31;6111446.0
2003-04-30;5853282.0
2003-05-31;6387341.0
2003-06-30;5485192.0
2003-07-31;5920916.0
2003-08-31;6067183.0
2003-09-30;5964170.0
2003-10-31;6099164.0
2003-11-30;5917277.0
2003-12-31;6193574.0
2004-01-31;6315696.0
2004-02-29;6159488.0
2004-03-31;6342415.0
2004-04-30;5692906.0
2004-05-31;6135073.0
2004-06-30;6026905.0
2004-07-31;6402610.0
2004-08-31;7094058.0
2004-09-30;5994399.0
2004-10-31;6433790.0
2004-11-30;6516894.0
2004-12-31;6375050.0
2005-01-31;6520795.0
2005-02-28;6027470.0
2005-03-31;6588610.0
2005-04-30;6444040.0
2005-05-31;6860809.0
2005-06-30;6313654.0
2005-07-31;6950693.0
2005-08-31;6771163.0
2005-09-30;6382560.0
2005-10-31;6679073.0
2005-11-30;6699087.0
2005-12-31;6663909.0
2006-01-31;6502368.0
2006-02-28;5916756.0
2006-03-31;6929916.0
2006-04-30;7067653.0
2006-05-31;6817137.0
2006-06-30;6986985.0
2006-07-31;6858088.0
2006-08-31;7210642.0
2006-09-30;6463398.0
2006-10-31;7046748.0
2006-11-30;6512821.0
2006-12-31;6687172.0
2007-01-31;7535267.0
2007-02-28;6351479.0
2007-03-31;7442914.0
2007-04-30;7407361.0
2007-05-31;7040331.0
2007-06-30;6782154.0
2007-07-31;7577587.0
2007-08-31;7571770.0
2007-09-30;6858751.0
2007-10-31;8137467.0
2007-11-30;6693979.0
2007-12-31;7404009.0
2008-01-31;7644224.0
2008-02-29;6798989.0
2008-03-31;7229310.0
2008-04-30;7647926.0
2008-05-31;7889425.0
2008-06-30;7689174.0
2008-07-31;7973391.0
2008-08-31;7720272.0
2008-09-30;6915783.0
2008-10-31;8013295.0
2008-11-30;7558457.0
2008-12-31;7577633.0
2009-01-31;8499491.0
2009-02-28;7568254.0
2009-03-31;8369747.0
2009-04-30;8234531.0
2009-05-31;8182985.0
2009-06-30;7906710.0
2009-07-31;7531888.0
2009-08-31;7885159.0
2009-09-30;7711180.0
2009-10-31;8056650.0
2009-11-30;7759502.0
2009-12-31;8385832.0
2010-01-31;8333808.0
2010-02-28;7922979.0
2010-03-31;8430760.0
2010-04-30;8508568.0
2010-05-31;8212036.0
2010-06-30;8545852.0
2010-07-31;8379050.0
2010-08-31;8610101.0
2010-09-30;8446300.0
2010-10-31;8490010.0
2010-11-30;8518926.0
2010-12-31;8408618.0
2011-01-31;9258037.0
2011-02-28;7932745.0
2011-03-31;9010584.0
2011-04-30;9203639.0
2011-05-31;8634900.0
2011-06-30;8504377.0
2011-07-31;8571869.0
2011-08-31;8909628.0
2011-09-30;9024242.0
2011-10-31;9295374.0
2011-11-30;8947646.0
2011-12-31;8591457.0
2012-01-31;8943588.0
2012-02-29;8813069.0
2012-03-31;9164254.0
2012-04-30;9005332.0
2012-05-31;10165645.0
2012-06-30;8719513.0
2012-07-31;9122468.0
2012-08-31;9406695.0
2012-09-30;8980553.0
2012-10-31;9377793.0
2012-11-30;9375838.0
2012-12-31;9389083.0
